year,month,date,latest,core,core_ex_shelter,core_services,cpiu,energy,food,shelter,core_1m,core_3m,core_6m,core_12m,core_ex_shelter_1m,core_ex_shelter_3m,core_ex_shelter_6m,core_ex_shelter_12m,core_services_1m,core_services_3m,core_services_6m,core_services_12m,cpiu_1m,cpiu_3m,cpiu_6m,cpiu_12m,energy_1m,energy_3m,energy_6m,energy_12m,food_1m,food_3m,food_6m,food_12m,shelter_1m,shelter_3m,shelter_6m,shelter_12m
2022,Nov,2022-11-01,0,300.316,264.617,383.544,298.708,297.403,316.5,364.655,3.812782939005732,5.131951296542558,5.748748490107691,,0.8336211760582968,2.628734899990537,3.8825170302061007,,6.037076969451749,7.110207993588191,7.248017120413408,,2.975604057756609,4.892790295335914,5.151560108624076,,-9.150811697005146,-1.820276852566216,-7.6154089087290044,,5.773631702952198,7.6246624282938935,10.06338699844851,,8.092319068907795,8.719150615119698,8.412654447954647,
2022,Dec,2022-12-01,0,301.433,264.847,385.684,298.808,285.672,317.798,367.45,4.5557449330385635,4.294359617162136,5.113946473472053,,1.0480174990819213,1.0382238744227834,2.65551171256162,,6.904787150787595,6.376053029480433,6.843939464822757,,0.40247063457987675,3.260211551666825,2.5482942057085234,,-38.30244372283234,-11.559381160452064,-26.08640379885564,,5.03386445478915,6.498451940667116,8.678632992693359,,9.595556664611093,8.984446869121744,8.635019818864809,
2023,Jan,2023-01-01,0,302.685,265.421,387.769,300.456,292.447,319.421,369.979,5.0996433476078185,4.488058302721654,5.22095742482529,5.539070917262623,2.631973039346658,1.5013798982904891,2.6794410588226736,3.881348237209603,6.683576896869892,6.541176839969043,7.000822973980947,7.164985919307543,6.822792165860347,3.3667570254165113,3.775398668445007,6.340296309929161,32.481105552657084,-9.444607086079682,-13.776099877065395,8.446249119293947,6.303524287399731,5.702390175658101,7.495791224782322,10.09050678283887,8.579008132926958,8.753827491792766,8.850429461904753,7.892649468963064
2023,Feb,2023-02-01,0,304.097,266.14,390.127,301.476,289.134,320.651,372.654,5.743781251129976,5.131935434027057,5.131943365284486,5.495462366785087,3.299556623143962,2.3221470057601223,2.475326295904101,3.651198566782865,7.5461968778155475,7.0442292728812195,7.077213551397787,7.2643838704888,4.150739767669487,3.75847055367855,4.324088748245414,5.957648712766894,-12.7784246911,-10.666309115141647,-6.347680013713375,4.883339620998872,4.719992950016194,5.3502419283197655,6.481379706850676,9.4454191099673,9.02963447243732,9.067273763956152,8.893073074112667,8.101193118032546
2023,Mar,2023-03-01,0,305.123,266.577,391.65,301.643,280.323,320.797,374.754,4.12468970875759,4.987259530617383,4.6402360505104046,5.562820885401543,1.9882838082945442,2.6385417485462526,1.835239280584533,3.7062828243532353,4.786533455608488,6.332501999291096,6.3542752851709405,7.1144331673216765,0.6667584910593494,3.8494313896034305,3.554402392224554,4.931348641757127,-31.021330351694353,-7.281963065226349,-9.445924641132542,-6.666333716226358,0.547758829729772,3.828493823564627,5.15499921326017,8.482548957942338,6.975882520808496,8.191240754068563,8.587119538489251,8.165038315558593
2023,Apr,2023-04-01,0,306.49,267.775,393.402,302.858,281.5,321.209,376.425,5.510665118362912,5.123942260444059,4.805518022293209,5.513746497104743,5.528124922903199,3.5950459978499882,2.542869666343206,3.673433041539065,5.50212112271633,5.938521424023291,6.239421803781098,6.8284019812304475,4.942059602879456,3.2363581511513306,3.301537012761524,4.946947488062325,5.156470903993449,-14.153041244787989,-11.83024849449026,-4.921454651080326,1.5520945201556113,2.2579216037135863,3.9658921373138867,7.657115661124192,5.483901409552927,7.153297251435031,7.95059612831861,8.092935372528288
2023,May,2023-05-01,0,307.623,268.488,394.699,303.316,274.466,321.933,378.323,4.527347131148707,4.719285353692659,4.92540753555295,5.336273579898587,3.2424309055000267,3.575946101167915,2.9471378097729595,3.4137698603755373,4.028790985066322,4.770754603108318,5.901391288442981,6.572577270039437,1.829881927635757,2.4637633074515497,3.1090847983595182,4.125314539356473,-26.18887130444829,-18.79971484298134,-14.830045356478827,-11.296046125306214,2.7385651433632585,1.6088630827600703,3.462642088003398,6.711990029302162,6.221255280675231,6.225266792124784,7.636890766437232,8.024076226154332
2023,Jun,2023-06-01,0,308.291,268.565,396.105,304.099,277.109,322.406,380.071,2.6371347331827,4.218208368002485,4.602027178001866,4.857674424932568,0.3446928232027302,3.0165378936941156,2.827366130775788,2.7414029892998792,4.359401815228536,4.628204965840732,5.476911282576391,6.158224947537971,3.142122288374871,3.2968224731146023,3.5727583787636963,3.0592533347792994,12.187620473324134,-4.507866786178305,-5.905137577551844,-16.604018887628246,1.7774171702827246,2.0213976536942235,2.920979669637913,5.760632452557846,5.687558193153075,5.797115214255788,6.987481338853274,7.808103385676701
2023,Jul,2023-07-01,0,308.959,268.64,397.794,304.615,275.9,323.046,381.821,2.631352364440609,3.261437483199603,4.188528119531143,4.7034702453572,0.3356295997307246,1.2984040764137728,2.4402890946959133,2.559795369080109,5.238547543970662,4.541002208695755,5.237442016493277,6.115469670738305,2.0552895130977022,2.3408314206179615,2.7876195172624962,3.28032820234625,-5.11166363570934,-7.723055593378558,-10.996095363561597,-12.397124568177208,2.4082699663057427,2.307306361418915,2.2826110020324197,4.856808067955698,5.667376863501272,5.858419767033607,6.5038906325216805,7.670767781760146
2023,Aug,2023-08-01,0,309.646,269.039,399.24,306.138,287.508,323.957,383.031,2.701191205281339,2.6565545567357685,3.682790423742621,4.4048526208603445,1.7969427872050359,0.823423754647612,2.1904178704960087,2.3327729302488276,4.450331692759635,4.682017330383559,4.726376568083102,5.8952717936203936,6.167469069525833,3.7737909630241706,3.116696779679029,3.7186358677607556,63.97543705562643,20.405277249548814,-1.1215754217673068,-3.770098938320865,3.437021739388779,2.538624531016298,2.0726851839735883,4.253730622805629,3.869816171575624,5.071448116557664,5.646782290878272,7.257646739267409
